,theta,size_r,r,stp_size,stp_pos_y,p,t_p,x0,y0,x1,y1,rt,response,soa,name,sex,age,distance
0,90,0.45,10,0.5,-3,66.45263671875,4.741040399996564,-0.297578125,-3.2962499999999997,-0.0915625,7.141875000000001,0.5967572000226937,hit,0.2,a,a,a,50
1,45,0.15,10,0.5,-3,6.221679687499993,1.7869974999921396,-0.13734375000000001,-2.907109375,7.141875000000001,4.1203125,0.6975784000242129,hit,0.3,a,a,a,50
2,90,0.9,10,0.5,-3,98.21337890625,1.4510130000126082,-0.0915625,-3.2962499999999997,0.32046874999999997,6.752734375,0.7161409000109416,hit,0.1,a,a,a,50
3,45,0.45,10,0.5,-3,81.61767578125,3.185537400015164,0.13734375000000001,-2.861328125,7.187656250000001,3.9600781250000003,0.6305435000103898,hit,0.2,a,a,a,50
4,135,0.15,10,0.5,-3,69.31396484375,1.3683769000053871,-0.0915625,-2.907109375,-7.09609375,3.89140625,0.9296242000127677,miss,0.2,a,a,a,50
5,45,0.9,10,0.5,-3,100.0,2.0525242000003345,0.13734375000000001,-3.1817968750000003,6.8900781250000005,4.372109375,0.7639542000251822,hit,0.1,a,a,a,50
6,45,0.9,10,0.5,-3,87.76953125,4.9009394999884535,0.04578125,-3.2046875,7.393671875,3.6167187500000004,0.6469055999768898,hit,0.1,a,a,a,50
7,135,0.15,10,0.5,-3,29.398437500000004,1.6834897999942768,-0.04578125,-3.113125,-5.928671875,2.083046875,0.6467736999911722,miss,0.1,a,a,a,50
8,45,0.9,10,0.5,-3,92.20458984375,1.3692168999987189,-0.297578125,-2.907109375,7.141875000000001,4.4865625,1.0121195000247099,no_response,0.2,a,a,a,50
9,45,0.45,10,0.5,-3,47.28173828125,2.452380400005495,0.04578125,-3.044453125,6.249140625000001,-0.572265625,1.0134533000236843,no_response,0.1,a,a,a,50
10,90,0.45,10,0.5,-3,68.74169921875,2.4200267999840435,-0.4578125,-2.9986718750000003,-0.36625,-3.0215625,0.5964022999978624,miss,0.2,a,a,a,50
11,90,0.75,10,0.5,-3,42.13134765625,2.033463900006609,0.16023437499999998,-3.090234375,0.32046874999999997,6.500937500000001,0.7140162000141572,hit,0.1,a,a,a,50
12,135,0.75,10,0.5,-3,79.185546875,1.0530438999994658,-0.04578125,-3.2733593750000005,-7.141875000000001,3.8456250000000005,0.5801557000086177,hit,0.1,a,a,a,50
13,90,0.3,10,0.5,-3,76.0380859375,1.4534287999849766,0.0915625,-3.044453125,0.13734375000000001,7.325,0.6142751999723259,miss,0.1,a,a,a,50
14,45,0.3,10,0.5,-3,76.75341796875,1.3201723000092898,-0.0915625,-2.815546875,7.027421875,4.25765625,0.6798457999830134,hit,0.2,a,a,a,50
15,45,0.9,10,0.5,-3,85.90966796875,1.6025761000055354,0.114453125,-3.2962499999999997,6.798515625,3.43359375,0.6145879999967292,hit,0.1,a,a,a,50
16,90,0.15,10,0.5,-3,85.90966796875,1.7527484000020195,0.297578125,-3.044453125,0.0,6.981640625,0.6474061999761034,hit,0.3,a,a,a,50
17,135,0.6,10,0.5,-3,90.630859375,1.7702276000054553,0.22890625,-2.97578125,-6.661171875000001,4.463671875,0.5490492999961134,hit,0.3,a,a,a,50
18,135,0.9,10,0.5,-3,96.35351562500001,1.5363687000062782,0.114453125,-3.0215625,-7.851484375,4.509453125,0.4151121999893803,hit,0.2,a,a,a,50
19,135,0.75,10,0.5,-3,97.2119140625,1.3866794999921694,0.27468750000000003,-3.1360156249999998,-7.118984375000001,3.9600781250000003,0.5800545000238344,hit,0.1,a,a,a,50
20,45,0.6,10,0.5,-3,72.46142578125,4.070541299995966,-0.114453125,-2.93,7.073203125000001,4.16609375,0.6666176999860909,hit,0.2,a,a,a,50
21,135,0.45,10,0.5,-3,75.89501953125,0.9707820999901742,0.22890625,-3.06734375,-6.981640625,4.16609375,0.749489599984372,hit,0.1,a,a,a,50
22,90,0.6,10,0.5,-3,97.7841796875,1.103434999997262,0.16023437499999998,-2.815546875,-0.343359375,7.187656250000001,0.4824165999889374,hit,0.2,a,a,a,50
23,90,0.75,10,0.5,-3,100.0,1.1065831999876536,0.022890625,-2.93,0.022890625,6.82140625,0.5843675000069197,hit,0.1,a,a,a,50
24,135,0.9,10,0.5,-3,100.0,1.1685875999974087,0.0915625,-2.93,-6.844296875,3.8456250000000005,0.598924599995371,hit,0.1,a,a,a,50
25,90,0.15,10,0.5,-3,20.67138671875,1.5039495999808423,-0.06867187500000001,-2.8384375000000004,0.13734375000000001,7.0503124999999995,0.7476962000073399,hit,0.1,a,a,a,50
26,90,0.3,10,0.5,-3,95.63818359375,0.9605822000012267,-0.13734375000000001,-2.907109375,0.04578125,6.8900781250000005,0.5652303000097163,hit,0.3,a,a,a,50
27,45,0.75,10,0.5,-3,93.4921875,0.9378480000013951,0.06867187500000001,-2.93,6.8671875,3.456484375,0.49852870000177063,hit,0.1,a,a,a,50
28,45,0.15,10,0.5,-3,100.0,0.9527864000119735,-0.04578125,-2.93,6.752734375,3.79984375,0.6146586999821011,miss,0.2,a,a,a,50
29,90,0.15,10,0.5,-3,59.01318359374999,1.653393499989761,0.0,-2.723984375,0.04578125,7.004531250000001,0.5148786000208929,hit,0.3,a,a,a,50
30,45,0.15,10,0.5,-3,41.98828125,1.2877034999837633,-0.022890625,-2.815546875,6.935859375,3.9371875000000003,0.5798963999841362,miss,0.2,a,a,a,50
31,135,0.45,10,0.5,-3,69.1708984375,1.0253909999737516,-0.27468750000000003,-2.70109375,-6.935859375,3.9600781250000003,0.5128238000033889,hit,0.3,a,a,a,50
32,135,0.9,10,0.5,-3,86.625,0.917966000008164,-0.04578125,-3.044453125,-6.981640625,3.98296875,0.7648337999999058,hit,0.1,a,a,a,50
33,90,0.15,10,0.5,-3,49.85693359375,1.7190658999898005,-0.13734375000000001,-2.746875,-0.16023437499999998,7.118984375000001,0.5960739000001922,miss,0.3,a,a,a,50
34,45,0.6,10,0.5,-3,50.0,3.365330600005109,0.06867187500000001,-2.93,7.233437500000001,4.234765625,0.4968583000008948,hit,0.3,a,a,a,50
35,45,0.75,10,0.5,-3,73.462890625,1.0170453999890015,0.0915625,-3.06734375,6.935859375,3.9142968750000002,0.6146476999856532,hit,0.2,a,a,a,50
36,90,0.3,10,0.5,-3,22.245117187500004,1.1234407000010833,-0.022890625,-3.2046875,-0.022890625,6.775625000000001,0.7793519000115339,hit,0.1,a,a,a,50
37,135,0.6,10,0.5,-3,85.1943359375,0.9348019000026397,-0.13734375000000001,-2.97578125,-6.981640625,3.479375,1.0267083999933675,no_response,0.1,a,a,a,50
38,90,0.3,10,0.5,-3,79.185546875,1.3261518999934196,-0.114453125,-2.51796875,0.25179687500000003,7.141875000000001,0.7818504000024404,hit,0.1,a,a,a,50
39,45,0.3,10,0.5,-3,59.15625,1.0332667999900877,0.06867187500000001,-2.6553125,7.187656250000001,4.143203125,0.5291901000018697,hit,0.2,a,a,a,50
40,90,0.9,10,0.5,-3,87.197265625,0.8194424999819603,0.13734375000000001,-2.907109375,0.183125,6.729843750000001,0.5172185999981593,hit,0.3,a,a,a,50
41,45,0.3,10,0.5,-3,44.27734375,1.447326100023929,0.0,-2.70109375,7.4165625,4.188984375,0.41534790000878274,miss,0.3,a,a,a,50
42,90,0.9,10,0.5,-3,79.32861328125,0.9800419000093825,-0.04578125,-2.746875,0.5035937500000001,7.0503124999999995,0.5644805000047199,hit,0.1,a,a,a,50
43,90,0.75,10,0.5,-3,82.046875,1.4910417999781203,-0.0915625,-2.8384375000000004,-0.04578125,7.004531250000001,0.44917510001687333,hit,0.3,a,a,a,50
44,90,0.9,10,0.5,-3,100.0,1.001276199996937,0.0915625,-3.090234375,-0.022890625,6.82140625,0.7647142999921925,hit,0.1,a,a,a,50
45,45,0.45,10,0.5,-3,70.6015625,4.519598499988206,-0.32046874999999997,-2.88421875,6.729843750000001,4.16609375,0.6808939000184182,hit,0.1,a,a,a,50
46,90,0.9,10,0.5,-3,70.029296875,2.6534508999902755,-0.022890625,-2.907109375,-0.389140625,6.8671875,0.5652448999753688,hit,0.1,a,a,a,50
47,45,0.3,10,0.5,-3,100.0,1.1780290000024252,0.0,-2.9986718750000003,6.8671875,3.89140625,0.5535164999892004,hit,0.2,a,a,a,50
48,90,0.45,10,0.5,-3,1.0712890624999971,0.984452800010331,0.16023437499999998,-2.79265625,0.0,6.981640625,0.5656315000087488,hit,0.3,a,a,a,50
49,45,0.15,10,0.5,-3,35.12109375,0.9595227999961935,-0.20601562499999998,-2.907109375,7.118984375000001,4.1203125,1.014607299992349,no_response,0.3,a,a,a,50
50,90,0.75,10,0.5,-3,100.0,1.1849651999946218,0.183125,-2.97578125,-0.04578125,6.95875,0.564641400007531,hit,0.3,a,a,a,50
51,90,0.3,10,0.5,-3,84.0498046875,0.7049574999837205,-0.25179687500000003,-2.88421875,-0.0915625,6.95875,0.465792800008785,hit,0.3,a,a,a,50
52,135,0.45,10,0.5,-3,93.34912109375,0.7186123999999836,-0.297578125,-2.79265625,-6.981640625,4.234765625,0.4806430999888107,hit,0.3,a,a,a,50
53,45,0.75,10,0.5,-3,94.9228515625,0.8916824999905657,0.0915625,-2.952890625,6.95875,3.8685156249999997,0.5311749000102282,hit,0.1,a,a,a,50
54,135,0.45,10,0.5,-3,91.34619140625,0.6021907000103965,0.114453125,-3.113125,-6.91296875,4.532343750000001,0.7820690000080504,miss,0.1,a,a,a,50
55,45,0.6,10,0.5,-3,86.76806640625,0.7955061999964528,0.0,-3.0215625,7.210546875,3.9600781250000003,0.5412620000133757,hit,0.3,a,a,a,50
56,45,0.15,10,0.5,-3,0.06982421874999756,1.5737071000039577,-0.0915625,-2.952890625,7.4165625,4.16609375,0.7803085999912582,miss,0.1,a,a,a,50
57,45,0.75,10,0.5,-3,94.9228515625,0.8707018000131939,0.20601562499999998,-2.93,7.508125,4.1203125,0.5976596999971662,hit,0.2,a,a,a,50
58,90,0.45,10,0.5,-3,88.341796875,1.1405037000076845,-0.022890625,-3.113125,0.0915625,6.752734375,0.6978149000206031,hit,0.1,a,a,a,50
59,135,0.15,10,0.5,-3,5.649414062500002,1.2527678000042215,-0.27468750000000003,-2.952890625,-7.09609375,4.211875,0.8150163000100292,hit,0.2,a,a,a,50
60,90,0.15,10,0.5,-3,66.0234375,1.4360241999966092,-0.04578125,-2.8384375000000004,-0.022890625,7.027421875,0.613478799990844,hit,0.2,a,a,a,50
61,135,0.6,10,0.5,-3,72.890625,2.4092649000231177,0.022890625,-3.2504687500000005,-6.752734375,4.211875,1.0119232999859378,no_response,0.3,a,a,a,50
62,90,0.45,10,0.5,-3,73.03369140625,0.8884760999935679,-0.06867187500000001,-2.7697656250000002,0.04578125,6.95875,0.41683470000862144,hit,0.3,a,a,a,50
63,45,0.6,10,0.5,-3,86.3388671875,1.0212264999863692,0.04578125,-2.93,7.141875000000001,3.98296875,0.5990794000099413,hit,0.1,a,a,a,50
64,135,0.9,10,0.5,-3,87.76953125,0.7691576000070199,0.0,-2.93,-7.233437500000001,4.234765625,0.6635039999964647,hit,0.1,a,a,a,50
65,135,0.15,10,0.5,-3,64.87890625,1.2045608000189532,0.16023437499999998,-2.70109375,-7.347890625000001,4.234765625,1.0128897999820765,no_response,0.2,a,a,a,50
66,45,0.45,10,0.5,-3,73.03369140625,0.9360369000060018,0.22890625,-2.88421875,7.004531250000001,3.9371875000000003,0.4987173000117764,hit,0.3,a,a,a,50
67,135,0.6,10,0.5,-3,100.0,1.052989299991168,0.04578125,-2.79265625,-7.09609375,4.234765625,0.5155259000021033,hit,0.2,a,a,a,50
68,135,0.3,10,0.5,-3,77.03955078125,1.0025163000100292,-0.022890625,-3.113125,-7.141875000000001,4.211875,0.6648372999916319,hit,0.1,a,a,a,50
69,90,0.6,10,0.5,-3,95.78125,0.8035195000120439,-0.022890625,-3.2962499999999997,-0.022890625,6.523828125,0.5982047999859788,hit,0.1,a,a,a,50
70,45,0.75,10,0.5,-3,100.0,1.1037187000038102,0.0915625,-2.746875,6.8671875,4.0287500000000005,1.0133106999855954,no_response,0.3,a,a,a,50
71,45,0.3,10,0.5,-3,61.58837890625,1.3687850999995135,0.13734375000000001,-3.06734375,7.118984375000001,4.234765625,0.48191960001713596,hit,0.3,a,a,a,50
72,90,0.6,10,0.5,-3,93.77832031250001,0.8369839999941178,-0.183125,-2.746875,-0.0915625,6.798515625,0.5976934999926016,hit,0.1,a,a,a,50
73,90,0.6,10,0.5,-3,90.630859375,0.8701956000004429,0.20601562499999998,-3.0215625,0.04578125,6.45515625,0.466679999983171,hit,0.3,a,a,a,50
74,135,0.75,10,0.5,-3,100.0,0.736391199985519,0.0915625,-3.090234375,-7.004531250000001,3.8227343750000005,0.44647840000106953,hit,0.3,a,a,a,50
75,90,0.6,10,0.5,-3,82.47607421875,0.8389213999907952,0.0,-2.93,0.183125,6.95875,1.0125788000004832,no_response,0.3,a,a,a,50
76,135,0.9,10,0.5,-3,100.0,1.2202417000080459,0.13734375000000001,-3.410703125,-7.141875000000001,4.5552343749999995,0.3635177000251133,hit,0.3,a,a,a,50
77,90,0.75,10,0.5,-3,98.642578125,0.6870800000033341,0.22890625,-2.93,0.0,7.0503124999999995,0.7148948000103701,hit,0.2,a,a,a,50
78,135,0.15,10,0.5,-3,22.531249999999996,0.9035620999929961,-0.13734375000000001,-3.2962499999999997,-7.37078125,4.532343750000001,0.6802872999978717,miss,0.1,a,a,a,50
79,45,0.45,10,0.5,-3,87.05419921875,0.7363700999994762,-0.13734375000000001,-2.97578125,7.187656250000001,4.188984375,0.4645693000056781,hit,0.3,a,a,a,50
80,135,0.45,10,0.5,-3,96.92578125,0.7194844000041485,0.06867187500000001,-2.97578125,-7.073203125000001,4.234765625,0.5827000999997836,hit,0.2,a,a,a,50
81,135,0.3,10,0.5,-3,89.486328125,0.7068698000221048,0.183125,-2.93,-7.09609375,4.1203125,0.8477752000035252,hit,0.1,a,a,a,50
82,45,0.9,10,0.5,-3,95.35205078125,0.802138200000627,-0.183125,-3.2504687500000005,6.706953125,3.98296875,0.7474398000049405,hit,0.1,a,a,a,50
83,135,0.3,10,0.5,-3,98.49951171875,0.7374315999913961,0.13734375000000001,-3.2733593750000005,-7.073203125000001,3.98296875,0.6151831000170205,hit,0.3,a,a,a,50
84,135,0.3,10,0.5,-3,93.06298828125,0.6531367999850772,0.20601562499999998,-3.2962499999999997,-7.073203125000001,4.143203125,0.8979621000180487,hit,0.1,a,a,a,50
85,135,0.75,10,0.5,-3,97.2119140625,0.6191628999949899,-0.114453125,-2.861328125,-7.004531250000001,3.9371875000000003,0.5826009000011254,hit,0.2,a,a,a,50
86,45,0.6,10,0.5,-3,84.76513671875,0.5865329000225756,0.297578125,-3.0215625,7.0503124999999995,4.16609375,0.5473979999951553,hit,0.2,a,a,a,50
87,135,0.6,10,0.5,-3,94.20751953125,0.8526974999986123,0.0915625,-2.952890625,-7.141875000000001,4.16609375,0.5317091000033543,hit,0.2,a,a,a,50
88,135,0.3,10,0.5,-3,93.77832031250001,0.6373016000143252,-0.04578125,-3.2962499999999997,-6.91296875,3.8456250000000005,0.6485189000086393,hit,0.3,a,a,a,50
89,135,0.75,10,0.5,-3,91.91845703125,0.5862829000107013,0.114453125,-3.227578125,-6.935859375,4.074531250000001,0.7003673000144772,hit,0.1,a,a,a,50
